BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg11280,108.94210142663752,106.76321138211382,103.65676736644478,123.7447585094644,106.40720390720391,111.3581716637272,3049,26.490324696621844,61.03,80769,273
pg11520,109.2814921920185,100.56460138777213,111.30182475752095,102.53968253968253,108.76587301587301,106.44301146384481,10737,9.730557883952686,81.02,104477,251
pg1155,109.96606098579782,105.73527905785971,111.67772108843536,116.47973638827298,116.84385382059801,103.63945578231292,8016,9.69249001996008,82.54,77695,542
pg11581,108.1603078982597,99.71589225589226,110.89351851851852,93.47358990216132,103.35604056437391,109.70157657657657,4565,15.986637458926616,74.42,72979,302
pg11655,113.82163416034383,113.45974450386215,103.83759073573889,115.14219838132883,122.19440887750746,117.11243932834843,7109,15.897594598396399,77.57,113016,895
pg11674,112.75638845281702,107.7488344988345,99.96152239573293,103.39735621521335,100.56996805783214,111.93664169787765,4914,18.48249898249898,75.54,90823,667
pg1190,108.32533728407515,109.608658008658,113.42035615899253,102.30717639168343,107.97659176029964,106.72093837535014,548,26.472627737226276,-89.71,14507,30
pg1193,119.12963119131949,106.75051485731098,114.76359338061467,116.84665223665223,114.02244340359093,100.20998677248679,1196,19.514214046822744,-12.71,23339,116
pg11931,111.26718794026486,114.48867243867244,116.55265339966832,116.14662447257385,113.16227753727755,119.10946196660484,339,16.36873156342183,76.66,5549,95
pg11970,106.45366634444304,106.152557319224,121.1233388704319,127.05338642838642,131.87246707193515,125.81539502164503,5895,15.569296013570822,73.71,91781,331
pg11,106.08546095717148,101.29059193121692,106.7813756869608,104.5621693121693,108.07077625570776,101.92730379188713,1543,16.67401166558652,63.8,25728,155
pg12102,109.07012170219717,104.43188002473715,117.98983134920636,116.26386962552012,106.32017797017797,109.07284652076319,5625,12.688,83.19,71370,664
pg1218,118.02318295739349,106.81448489781825,109.46699134199133,106.9120082815735,108.23412187227976,105.04310344827586,10285,15.709965969859018,74.83,161577,759
pg12181,106.95621629832158,108.60789241622575,103.87839433293979,100.00215975544924,97.64003050395456,96.93155902207626,1649,14.631291691934505,86.54,24127,139
pg12303,115.24939993999399,105.8293868829583,110.69554127129884,107.5894993894994,121.97625968992247,113.73938969527204,7692,20.51365054602184,65.8,157791,617
pg12304,101.44856680536292,99.01715593434344,106.22789725209081,107.12135674782735,104.37202380952382,107.07924836601308,5829,14.987647967061246,67.83,87363,384
pg12360,117.82087227414331,108.89092270778318,113.77294173590471,119.33355252342595,99.55860363469058,108.4098124098124,10987,10.47820151087649,81.43,115124,256
pg12450,109.24117411741175,118.83864468864469,113.3919469928644,124.82084377610694,109.44651741293532,101.4760752234778,5904,17.967649051490515,72.8,106081,515
pg12453,118.72268710670772,108.03113770760831,116.96937341009506,117.3150466372116,113.89617224880382,121.88682745825604,7149,22.00727374457966,58.76,157330,989
